member_casual,station_name,number_of_stations
casual,Clark St & Montrose Ave,2071
casual,Ellis Ave & 53rd St,2071
member,Eastlake Ter & Rogers Ave,2058
casual,Damen Ave & Grand Ave,2035
member,Harper Ave & 59th St,2034
member,Paulina St & Montrose Ave,2031
casual,Larrabee St & Oak St,2028
member,McClurg Ct & Illinois St,2015
casual,McCormick Place,2011
casual,California Ave & Cortez St,2007
member,Campbell Ave & Fullerton Ave,2004
casual,Ashland Ave & Wellington Ave,1992
casual,Lincoln Ave & Belle Plaine Ave,1989
member,Clark St & Elmdale Ave,1981
member,Museum of Science and Industry,1981
casual,900 W Harrison St,1973
casual,Larrabee St & Menomonee St,1969
casual,Sheridan Rd & Noyes St (NU),1941
casual,Morgan St & 18th St,1936
member,Artesian Ave & Hubbard St,1934
member,California Ave & Montrose Ave,1929
member,Ashland Ave & Lake St,1916
casual,California Ave & Division St,1906
member,Clinton St & Tilden St,1906
member,Winchester Ave & Elston Ave,1901
member,Broadway & Wilson Ave,1890
casual,Central Park Ave & Bloomingdale Ave,1884
casual,McClurg Ct & Illinois St,1881
member,Clinton St & 18th St,1862
casual,Racine Ave & Randolph St,1860
casual,Leavitt St & Chicago Ave,1856
casual,Clark St & Ida B Wells Dr,1855
casual,California Ave & Altgeld St,1854
casual,Lincoln Ave & Waveland Ave,1834
casual,Elston Ave & Cortland St,1819
casual,Spaulding Ave & Armitage Ave,1817
casual,Damen Ave & Clybourn Ave,1814
casual,Elizabeth (May) St & Fulton St,1793
member,Ogden Ave & Congress Pkwy,1793
member,Elston Ave & Wabansia Ave,1787
member,Morgan St & 31st St,1786
member,Wallace St & 35th St,1782
member,Elston Ave & Cortland St,1780
member,Lincoln Ave & Addison St,1778
casual,Campbell Ave & Fullerton Ave,1774
casual,Lincoln Ave & Sunnyside Ave,1765
casual,Loomis St & Jackson Blvd,1759
casual,Ashland Ave & Lake St,1746
member,Clark St & Schreiber Ave,1698
casual,Wabash Ave & Cermak Rd,1690
member,Leavitt St & Lawrence Ave,1690
casual,Glenwood Ave & Morse Ave,1689
member,Emerald Ave & 28th St,1687
casual,Damen Ave & Melrose Ave,1686
casual,Racine Ave & Washington Blvd,1673
member,Ashland Ave & Belle Plaine Ave,1673
casual,Calumet Ave & 21st St,1670
casual,Ravenswood Ave & Irving Park Rd,1665
member,Spaulding Ave & Armitage Ave,1654
casual,Wolcott (Ravenswood) Ave & Montrose Ave,1650
member,Damen Ave & Melrose Ave,1649
casual,MLK Jr Dr & 29th St,1648
casual,63rd St Beach,1646
casual,California Ave & Fletcher St,1632
casual,Damen Ave & Leland Ave,1627
casual,Ellis Ave & 58th St,1613
member,California Ave & Fletcher St,1603
casual,Paulina St & 18th St,1601
member,DuSable Lake Shore Dr & Ohio St,1591
casual,Wood St & Hubbard St,1574
member,State St & 19th St,1574
casual,Troy St & North Ave,1569
casual,Marshfield Ave & Cortland St,1562
member,Talman Ave & Addison St,1561
member,Canal St & Harrison St,1560
member,Lincoln Ave & Winona St,1559
casual,Leavitt St & Belmont Ave,1553
casual,Lake Park Ave & 47th St,1545
casual,Damen Ave & Foster Ave,1536
casual,Wells St & 19th St,1528
member,Western Ave & Roscoe St,1522
member,Clark St & Lunt Ave,1518
casual,Sheridan Rd & Columbia Ave,1516
member,Wabash Ave & Cermak Rd,1508
member,Calumet Ave & 21st St,1505
member,Damen Ave & Madison St,1503
member,Clark St & Columbia Ave,1502
member,Western Ave & Congress Pkwy,1496
member,Francisco Ave & Foster Ave,1475
casual,Morgan St & Polk St,1465
casual,State St & 19th St,1462
casual,Canal St & Jackson Blvd,1436
casual,Lincoln Ave & Addison St,1436
member,Racine Ave & 15th St,1434
member,Sheridan Rd & Greenleaf Ave,1433
casual,Chicago Ave & Washington St,1428
casual,Rhodes Ave & 32nd St,1419
member,Troy St & North Ave,1418
member,Manor Ave & Leland Ave,1411
casual,Leavitt St & Division St,1410
